date,open,high,low,close,volume,future_return,label
2026-02-18 20:00:00,66177.15,66550.0,66141.9,66268.39,682.91387,-0.027090593267770652,Vendre
2026-02-18 21:00:00,66268.4,66504.2,66053.6,66342.76,909.37392,-0.026560547074013674,Vendre
2026-02-18 22:00:00,66342.76,66477.7,66232.02,66408.82,352.09134,-0.025346934337938984,Vendre
2026-02-18 23:00:00,66408.83,66502.49,66275.71,66461.0,323.1366,-0.0271584839229022,Vendre
2026-02-19 00:00:00,66461.0,66597.03,66345.0,66446.49,297.42224,-0.022650707358658144,Vendre
2026-02-19 01:00:00,66446.49,66884.16,66446.48,66866.62,415.14671,-0.04047385676141547,Vendre
2026-02-19 02:00:00,66866.63,66958.9,66639.99,66835.2,362.58869,-0.04077776381308053,Vendre
2026-02-19 03:00:00,66835.2,66997.07,66727.27,66980.91,262.07528,-0.05054275912345773,Vendre
2026-02-19 04:00:00,66980.91,67070.56,66759.0,66802.75,389.01702,-0.05125402771592492,Vendre
2026-02-19 05:00:00,66802.74,66893.06,66679.76,66871.35,253.79395,-0.05632546673575462,Vendre
2026-02-19 06:00:00,66871.34,67290.4,66865.43,67150.12,468.59633,-0.060570703373277586,Vendre
2026-02-19 07:00:00,67150.12,67320.0,67028.7,67206.45,481.75258,-0.0597188216309595,Vendre
2026-02-19 08:00:00,67206.45,67206.45,66785.56,66966.12,559.76369,-0.05336982342712993,Vendre
2026-02-19 09:00:00,66966.12,67191.83,66754.23,66836.0,463.29328,-0.05365386917230238,Vendre
2026-02-19 10:00:00,66836.01,66958.4,66741.77,66843.08,368.25421,-0.05323782207522457,Vendre
2026-02-19 11:00:00,66843.08,66936.42,66478.02,66496.02,488.02461,-0.04915963391493213,Vendre
2026-02-19 12:00:00,66496.03,66680.7,66325.34,66516.67,484.41025,-0.0533342995071761,Vendre
2026-02-19 13:00:00,66516.67,66556.59,65763.0,65913.37,1377.50527,-0.04571712840657359,Vendre
2026-02-19 14:00:00,65913.38,66662.3,65631.83,66421.2,1506.37269,-0.04467263464074722,Vendre
2026-02-19 15:00:00,66421.2,66755.39,65966.0,66398.0,1083.30553,-0.0365075755293834,Vendre
2026-02-19 16:00:00,66398.01,66514.95,65899.25,66293.53,940.96239,-0.030591371435493057,Vendre
2026-02-19 17:00:00,66293.53,67049.99,66173.15,66369.42,899.04062,-0.032390067594383065,Vendre
2026-02-19 18:00:00,66369.42,67073.13,66228.49,67030.49,865.51701,-0.03872014064047581,Vendre
2026-02-19 19:00:00,67030.5,67198.1,66700.0,67050.0,706.47789,-0.03900029828486206,Vendre
2026-02-19 20:00:00,67050.0,67166.98,66823.03,67149.11,444.88336,-0.03985473523029567,Vendre
2026-02-19 21:00:00,67149.11,67168.86,66900.92,66916.51,265.40447,-0.04294680042339314,Vendre
2026-02-19 22:00:00,66916.51,67000.0,66652.34,66915.14,854.02212,-0.041757216677720504,Vendre
2026-02-19 23:00:00,66915.15,67023.61,66814.76,67003.73,304.63969,-0.04396143319185357,Vendre
2026-02-20 00:00:00,67003.73,67486.62,66949.41,67228.91,595.00262,-0.04469223136296573,Vendre
